Note,Time On (s),Time Off (s)
43,90.42848099999999,90.714195
36,90.42848099999999,90.714195
43,90.714195,90.857052
36,90.714195,90.857052
41,90.857052,91.28562299999999
48,90.857052,91.28562299999999
41,91.28562299999999,91.57133699999999
48,91.28562299999999,91.57133699999999
48,91.57133699999999,91.714194
41,91.57133699999999,91.714194
37,91.714194,92.142765
44,91.714194,92.142765
37,92.142765,92.428479
44,92.142765,92.428479
44,92.428479,92.57133599999999
37,92.428479,92.57133599999999
44,92.57133599999999,92.999907
51,92.57133599999999,92.999907
44,92.999907,93.28562099999999
51,92.999907,93.28562099999999
51,93.28562099999999,93.428478
44,93.28562099999999,93.428478
46,93.428478,93.857049
39,93.428478,93.857049
46,93.857049,94.142763
39,93.857049,94.142763
46,94.142763,94.28562
39,94.142763,94.28562
36,94.28562,94.71419099999999
43,94.28562,94.71419099999999
36,94.71419099999999,94.999905
43,94.71419099999999,94.999905
43,94.999905,95.142762
36,94.999905,95.142762
36,95.142762,95.571333
43,95.142762,95.571333
36,95.571333,95.85704700000001
43,95.571333,95.85704700000001
43,95.85704700000001,95.999904
36,95.85704700000001,95.999904
36,95.999904,96.42847499999999
43,95.999904,96.42847499999999
36,96.42847499999999,96.71418899999999
43,96.42847499999999,96.71418899999999
43,96.71418899999999,96.85704599999998
36,96.71418899999999,96.85704599999998
43,96.85704599999998,97.285617
36,96.85704599999998,97.285617
43,97.285617,97.57133099999999
36,97.285617,97.57133099999999
43,97.57133099999999,97.714188
36,97.57133099999999,97.714188
48,97.714188,98.142759
41,97.714188,98.142759
48,98.142759,98.57132999999999
41,98.142759,98.57132999999999
48,98.57132999999999,98.99990100000001
41,98.57132999999999,98.99990100000001
48,98.99990100000001,99.28561499999999
41,98.99990100000001,99.28561499999999
48,99.28561499999999,99.428472
41,99.28561499999999,99.428472
44,99.428472,99.85704299999999
37,99.428472,99.85704299999999
44,99.85704299999999,100.285614
37,99.85704299999999,100.285614
44,100.285614,100.71418499999999
37,100.285614,100.71418499999999
44,100.71418499999999,100.99989899999998
37,100.71418499999999,100.99989899999998
44,100.99989899999998,101.142756
37,100.99989899999998,101.142756
51,101.142756,101.571327
44,101.142756,101.571327
51,101.571327,101.99989799999999
44,101.571327,101.99989799999999
51,101.99989799999999,102.42846899999999
44,101.99989799999999,102.42846899999999
51,102.42846899999999,102.71418299999999
44,102.42846899999999,102.71418299999999
51,102.71418299999999,102.85704
44,102.71418299999999,102.85704
46,102.85704,103.285611
39,102.85704,103.285611
46,103.285611,103.714182
39,103.285611,103.714182
46,103.714182,104.14275299999998
39,103.714182,104.14275299999998
46,104.14275299999998,104.428467
39,104.14275299999998,104.428467
46,104.428467,104.571324
39,104.428467,104.571324
48,104.571324,104.999895
41,104.571324,104.999895
48,104.999895,105.428466
41,104.999895,105.428466
48,105.428466,105.85703699999999
41,105.428466,105.85703699999999
48,105.85703699999999,106.14275099999999
41,105.85703699999999,106.14275099999999
48,106.14275099999999,106.28560799999998
41,106.14275099999999,106.28560799999998
44,106.28560799999998,106.714179
37,106.28560799999998,106.714179
44,106.714179,107.14274999999999
37,106.714179,107.14274999999999
44,107.14274999999999,107.571321
37,107.14274999999999,107.571321
44,107.571321,107.857035
37,107.571321,107.857035
44,107.857035,107.99989199999999
37,107.857035,107.99989199999999
51,107.99989199999999,108.42846300000001
44,107.99989199999999,108.42846300000001
51,108.42846300000001,108.857034
44,108.42846300000001,108.857034
51,108.857034,109.28560499999999
44,108.857034,109.28560499999999
51,109.28560499999999,109.571319
44,109.28560499999999,109.571319
51,109.571319,109.714176
44,109.571319,109.714176
43,109.714176,110.14274699999999
36,109.714176,110.14274699999999
43,110.14274699999999,110.571318
36,110.14274699999999,110.571318
43,110.571318,110.999889
36,110.571318,110.999889
43,110.999889,111.285603
36,110.999889,111.285603
43,111.285603,111.42845999999999
36,111.285603,111.42845999999999
48,113.142744,113.57131499999998
41,113.142744,113.57131499999998
48,113.57131499999998,113.857029
41,113.57131499999998,113.857029
50,113.857029,113.999886
43,113.857029,113.999886
51,113.999886,114.428457
44,113.999886,114.428457
51,114.428457,114.71417100000001
44,114.428457,114.71417100000001
51,114.71417100000001,114.857028
44,114.71417100000001,114.857028
56,114.857028,115.28559899999999
49,114.857028,115.28559899999999
53,115.28559899999999,115.71416999999998
46,115.28559899999999,115.71416999999998
58,115.71416999999998,116.142741
51,115.71416999999998,116.142741
55,116.142741,116.57131199999999
48,116.142741,116.57131199999999
48,116.57131199999999,116.999883
41,116.57131199999999,116.999883
48,116.999883,117.285597
41,116.999883,117.285597
50,117.285597,117.42845399999999
43,117.285597,117.42845399999999
51,117.42845399999999,117.85702500000001
44,117.42845399999999,117.85702500000001
51,117.85702500000001,118.14273899999999
44,117.85702500000001,118.14273899999999
51,118.14273899999999,118.285596
44,118.14273899999999,118.285596
58,118.285596,118.71416699999999
51,118.285596,118.71416699999999
55,118.71416699999999,119.142738
48,118.71416699999999,119.142738
53,119.142738,119.57130899999999
48,119.57130899999999,119.99988
41,119.57130899999999,119.99988
48,119.99988,120.428451
41,119.99988,120.428451
48,120.428451,120.714165
41,120.428451,120.714165
50,120.714165,120.85702199999999
43,120.714165,120.85702199999999
51,120.85702199999999,121.28559299999999
44,120.85702199999999,121.28559299999999
51,121.28559299999999,121.57130699999999
44,121.28559299999999,121.57130699999999
51,121.57130699999999,121.714164
44,121.57130699999999,121.714164
56,121.714164,122.142735
49,121.714164,122.142735
53,122.142735,122.57130599999999
46,122.142735,122.57130599999999
58,122.57130599999999,122.99987699999998
51,122.57130599999999,122.99987699999998
55,122.99987699999998,123.428448
48,122.99987699999998,123.428448
48,123.428448,123.857019
41,123.428448,123.857019
48,123.857019,124.142733
41,123.857019,124.142733
50,124.142733,124.28559
43,124.142733,124.28559
51,124.28559,124.71416099999999
44,124.28559,124.71416099999999
51,124.71416099999999,124.99987499999999
44,124.71416099999999,124.99987499999999
51,124.99987499999999,125.14273199999998
44,124.99987499999999,125.14273199999998
58,125.14273199999998,125.571303
51,125.14273199999998,125.571303
55,125.571303,125.99987399999999
48,125.571303,125.99987399999999
53,125.99987399999999,126.428445
48,126.428445,126.85701599999999
41,126.428445,126.85701599999999
44,126.85701599999999,127.285587
37,126.85701599999999,127.285587
44,127.285587,127.714158
37,127.285587,127.714158
44,127.714158,128.142729
37,127.714158,128.142729
44,128.142729,128.428443
37,128.142729,128.428443
44,128.428443,128.57129999999998
37,128.428443,128.57129999999998
51,128.57129999999998,128.99987099999998
44,128.57129999999998,128.99987099999998
51,128.99987099999998,129.428442
44,128.99987099999998,129.428442
51,129.428442,129.857013
44,129.428442,129.857013
51,129.857013,130.142727
44,129.857013,130.142727
51,130.142727,130.285584
44,130.142727,130.285584
43,130.285584,130.71415499999998
36,130.285584,130.71415499999998
43,130.71415499999998,131.142726
36,130.71415499999998,131.142726
43,131.142726,131.571297
36,131.142726,131.571297
43,131.571297,131.857011
36,131.571297,131.857011
43,131.857011,131.999868
36,131.857011,131.999868
48,131.999868,132.428439
41,131.999868,132.428439
48,132.428439,132.85701
41,132.428439,132.85701
46,132.85701,133.285581
39,132.85701,133.285581
46,133.285581,133.571295
39,133.285581,133.571295
46,133.571295,133.71415199999998
39,133.571295,133.71415199999998
44,133.71415199999998,134.142723
37,133.71415199999998,134.142723
44,134.142723,134.571294
37,134.142723,134.571294
44,134.571294,134.999865
37,134.571294,134.999865
44,134.999865,135.28557899999998
37,134.999865,135.28557899999998
44,135.28557899999998,135.428436
